"id","stateName","countyName","county"
"10023","Colorado"," Saguache "," Saguache County "
"10024","California"," Tulare "," Tulare County "
"10025","Georgia"," Floyd "," Floyd County "
"10026","Alabama"," Wilcox "," Wilcox County "
"10027","Montana"," Wheatland "," Wheatland County "
"10028","Missouri"," Knox "," Knox County "
"10029","Mississippi"," Noxubee "," Noxubee County "
"10030","Florida"," Polk "," Polk County "
"10031","Arkansas"," Pike "," Pike County "
"10032","Colorado"," San Juan "," San Juan County "
"10033","California"," Tuolumne "," Tuolumne County "
"10034","Georgia"," Forsyth "," Forsyth County "
"10035","Alabama"," Winston "," Winston County "
"10036","Montana"," Wibaux "," Wibaux County "
"10037","Missouri"," Laclede "," Laclede County "
"10038","Mississippi"," Oktibbeha "," Oktibbeha County "
"10039","Florida"," Putnam "," Putnam County "
"10040","Arkansas"," Poinsett "," Poinsett County "
"10041","Colorado"," San Miguel "," San Miguel County "
"10042","California"," Ventura "," Ventura County "
"10043","Georgia"," Franklin "," Franklin County "
"10044","Montana"," Yellowstone "," Yellowstone County "
"10045","Missouri"," Lafayette "," Lafayette County "
"10046","Mississippi"," Panola "," Panola County "
"10047","Florida"," Saint Johns "," Saint Johns County "
"10048","Arkansas"," Polk "," Polk County "
"10049","Colorado"," Sedgwick "," Sedgwick County "
"10050","California"," Yolo "," Yolo County "
"10051","Georgia"," Fulton "," Fulton County "
"10052","Missouri"," Lawrence "," Lawrence County "
"10053","Mississippi"," Pearl River "," Pearl River County "
"10054","Florida"," Saint Lucie "," Saint Lucie County "
"10055","Arkansas"," Pope "," Pope County "
"10056","Colorado"," Summit "," Summit County "
"10057","California"," Yuba "," Yuba County "
"10058","Georgia"," Gilmer "," Gilmer County "
"10059","Missouri"," Lewis "," Lewis County "
"10060","Mississippi"," Perry "," Perry County "
"10061","Florida"," Santa Rosa "," Santa Rosa County "
"10062","Arkansas"," Prairie "," Prairie County "
"10063","Colorado"," Teller "," Teller County "
"10064","Georgia"," Glascock "," Glascock County "
"10065","Missouri"," Lincoln "," Lincoln County "
"10066","Mississippi"," Pike "," Pike County "
"10067","Florida"," Sarasota "," Sarasota County "
"10068","Arkansas"," Pulaski "," Pulaski County "
"10069","Colorado"," Washington "," Washington County "
"10070","Georgia"," Glynn "," Glynn County "
"10071","Missouri"," Linn "," Linn County "
"10072","Mississippi"," Pontotoc "," Pontotoc County "
"10073","Florida"," Seminole "," Seminole County "
"10074","Arkansas"," Randolph "," Randolph County "
"10075","Colorado"," Weld "," Weld County "
"10076","Georgia"," Gordon "," Gordon County "
"10077","Missouri"," Livingston "," Livingston County "
"10078","Mississippi"," Prentiss "," Prentiss County "
"10079","Florida"," Sumter "," Sumter County "
"10080","Arkansas"," Saint Francis "," Saint Francis County "
"10081","Colorado"," Yuma "," Yuma County "
"10082","Georgia"," Grady "," Grady County "
"10083","Missouri"," McDonald "," McDonald County "
"10084","Mississippi"," Quitman "," Quitman County "
"10085","Florida"," Suwannee "," Suwannee County "
"10086","Arkansas"," Saline "," Saline County "
"10087","Georgia"," Greene "," Greene County "
"10088","Missouri"," Macon "," Macon County "
"10089","Mississippi"," Rankin "," Rankin County "
"10090","Florida"," Taylor "," Taylor County "
"10091","Arkansas"," Scott "," Scott County "
"10092","Georgia"," Gwinnett "," Gwinnett County "
"10093","Missouri"," Madison "," Madison County "
"10094","Mississippi"," Scott "," Scott County "
"10095","Florida"," Union "," Union County "
"10096","Arkansas"," Searcy "," Searcy County "
"10097","Georgia"," Habersham "," Habersham County "
"10098","Missouri"," Maries "," Maries County "
"10099","Mississippi"," Simpson "," Simpson County "
"10100","Florida"," Volusia "," Volusia County "
"10101","Arkansas"," Sebastian "," Sebastian County "
"10102","Georgia"," Hall "," Hall County "
"10103","Missouri"," Marion "," Marion County "
"10104","Mississippi"," Smith "," Smith County "
"10105","Florida"," Wakulla "," Wakulla County "
"10106","Arkansas"," Sevier "," Sevier County "
"10107","Georgia"," Hancock "," Hancock County "
"10108","Missouri"," Mercer "," Mercer County "
"10109","Mississippi"," Stone "," Stone County "
"10110","Florida"," Walton "," Walton County "
"10111","Arkansas"," Sharp "," Sharp County "
"10112","Georgia"," Haralson "," Haralson County "
"10113","Missouri"," Miller "," Miller County "
"10114","Mississippi"," Sunflower "," Sunflower County "
"10115","Florida"," Washington "," Washington County "
"10116","Arkansas"," Stone "," Stone County "
"10117","Georgia"," Harris "," Harris County "
"10118","Missouri"," Mississippi "," Mississippi County "
"10119","Mississippi"," Tallahatchie "," Tallahatchie County "
"10120","Arkansas"," Union "," Union County "
"10121","Georgia"," Hart "," Hart County "
"10122","Missouri"," Moniteau "," Moniteau County "
"10123","Mississippi"," Tate "," Tate County "
"10124","Arkansas"," Van Buren "," Van Buren County "
"10125","Georgia"," Heard "," Heard County "
"10126","Missouri"," Monroe "," Monroe County "
"10127","Mississippi"," Tippah "," Tippah County "
"10128","Arkansas"," Washington "," Washington County "
"10129","Georgia"," Henry "," Henry County "
"10130","Missouri"," Montgomery "," Montgomery County "
"10131","Mississippi"," Tishomingo "," Tishomingo County "
"10132","Arkansas"," White "," White County "
"10133","Georgia"," Houston "," Houston County "
"10134","Missouri"," Morgan "," Morgan County "
"10135","Mississippi"," Tunica "," Tunica County "
"10136","Arkansas"," Woodruff "," Woodruff County "
"10137","Georgia"," Irwin "," Irwin County "
"10138","Missouri"," New Madrid "," New Madrid County "
"10139","Mississippi"," Union "," Union County "
"10140","Arkansas"," Yell "," Yell County "
"10141","Georgia"," Jackson "," Jackson County "
"10142","Missouri"," Newton "," Newton County "
"10143","Mississippi"," Walthall "," Walthall County "
"10144","Georgia"," Jasper "," Jasper County "
"10145","Missouri"," Nodaway "," Nodaway County "
"10146","Mississippi"," Warren "," Warren County "
"10147","Georgia"," Jeff Davis "," Jeff Davis County "
"10148","Missouri"," Oregon "," Oregon County "
"10149","Mississippi"," Washington "," Washington County "
"10150","Georgia"," Jefferson "," Jefferson County "
"10151","Missouri"," Osage "," Osage County "
"10152","Mississippi"," Wayne "," Wayne County "
"10153","Georgia"," Jenkins "," Jenkins County "
"10154","Missouri"," Ozark "," Ozark County "
"10155","Mississippi"," Webster "," Webster County "
"10156","Georgia"," Johnson "," Johnson County "
"10157","Missouri"," Pemiscot "," Pemiscot County "
"10158","Mississippi"," Wilkinson "," Wilkinson County "
"10159","Georgia"," Jones "," Jones County "
"10160","Missouri"," Perry "," Perry County "
"10161","Mississippi"," Winston "," Winston County "
"10162","Georgia"," Lamar "," Lamar County "
"10163","Missouri"," Pettis "," Pettis County "
"10164","Mississippi"," Yalobusha "," Yalobusha County "
"10165","Georgia"," Lanier "," Lanier County "
"10166","Missouri"," Phelps "," Phelps County "
"10167","Mississippi"," Yazoo "," Yazoo County "
"10168","Georgia"," Laurens "," Laurens County "
"10169","Missouri"," Pike "," Pike County "
"10170","Georgia"," Lee "," Lee County "
"10171","Missouri"," Platte "," Platte County "
"10172","Georgia"," Liberty "," Liberty County "
"10173","Missouri"," Polk "," Polk County "
"10174","Georgia"," Lincoln "," Lincoln County "
"10175","Missouri"," Pulaski "," Pulaski County "
"10176","Georgia"," Long "," Long County "
"10177","Missouri"," Putnam "," Putnam County "
"10178","Georgia"," Lowndes "," Lowndes County "
"10179","Missouri"," Ralls "," Ralls County "
"10180","Georgia"," Lumpkin "," Lumpkin County "
"10181","Missouri"," Randolph "," Randolph County "
"10182","Georgia"," McDuffie "," McDuffie County "
"10183","Missouri"," Ray "," Ray County "
"10184","Georgia"," McIntosh "," McIntosh County "
"10185","Missouri"," Reynolds "," Reynolds County "
"10186","Georgia"," Macon "," Macon County "
"10187","Missouri"," Ripley "," Ripley County "
"10188","Georgia"," Madison "," Madison County "
"10189","Missouri"," Saint Charles "," Saint Charles County "
"10190","Georgia"," Marion "," Marion County "
"10191","Missouri"," Saint Clair "," Saint Clair County "
"10192","Georgia"," Meriwether "," Meriwether County "
"10193","Missouri"," Saint Francois "," Saint Francois County "
"10194","Georgia"," Miller "," Miller County "
"10195","Missouri"," Saline "," Saline County "
"10196","Georgia"," Mitchell "," Mitchell County "
"10197","Missouri"," Schuyler "," Schuyler County "
"10198","Georgia"," Monroe "," Monroe County "
"10199","Missouri"," Scotland "," Scotland County "
"10200","Georgia"," Montgomery "," Montgomery County "
"10201","Missouri"," Scott "," Scott County "
"10202","Georgia"," Morgan "," Morgan County "
"10203","Missouri"," Shannon "," Shannon County "
"10204","Georgia"," Murray "," Murray County "
"10205","Missouri"," Shelby "," Shelby County "
"10206","Georgia"," Muscogee "," Muscogee County "
"10207","Missouri"," Stoddard "," Stoddard County "
"10208","Georgia"," Newton "," Newton County "
"10209","Missouri"," Stone "," Stone County "
"10210","Georgia"," Oconee "," Oconee County "
"10211","Missouri"," Sullivan "," Sullivan County "
"10212","Georgia"," Oglethorpe "," Oglethorpe County "
"10213","Missouri"," Taney "," Taney County "
"10214","Georgia"," Paulding "," Paulding County "
"10215","Missouri"," Texas "," Texas County "
"10216","Georgia"," Peach "," Peach County "
"10217","Missouri"," Vernon "," Vernon County "
"10218","Georgia"," Pickens "," Pickens County "
"10219","Missouri"," Warren "," Warren County "
"10220","Georgia"," Pierce "," Pierce County "
"10221","Missouri"," Washington "," Washington County "
"10222","Georgia"," Pike "," Pike County "
"10223","Missouri"," Wayne "," Wayne County "
"10224","Georgia"," Polk "," Polk County "
"10225","Missouri"," Webster "," Webster County "
"10226","Georgia"," Pulaski "," Pulaski County "
"10227","Missouri"," Worth "," Worth County "
"10228","Georgia"," Putnam "," Putnam County "
"10229","Missouri"," Wright "," Wright County "
"10230","Georgia"," Quitman "," Quitman County "
"10231","Georgia"," Rabun "," Rabun County "
"10232","Georgia"," Randolph "," Randolph County "
"10233","Georgia"," Richmond "," Richmond County "
"10234","Georgia"," Rockdale "," Rockdale County "
"10235","Georgia"," Schley "," Schley County "
"10236","Georgia"," Screven "," Screven County "
"10237","Georgia"," Seminole "," Seminole County "
"10238","Georgia"," Spalding "," Spalding County "
"10239","Georgia"," Stephens "," Stephens County "
"10240","Georgia"," Stewart "," Stewart County "
"10241","Georgia"," Sumter "," Sumter County "
"10242","Georgia"," Talbot "," Talbot County "
"10243","Georgia"," Taliaferro "," Taliaferro County "
"10244","Georgia"," Tattnall "," Tattnall County "
"10245","Georgia"," Taylor "," Taylor County "
"10246","Georgia"," Telfair "," Telfair County "
"10247","Georgia"," Terrell "," Terrell County "
"10248","Georgia"," Thomas "," Thomas County "
"10249","Georgia"," Tift "," Tift County "
"10250","Georgia"," Toombs "," Toombs County "
"10251","Georgia"," Towns "," Towns County "
"10252","Georgia"," Treutlen "," Treutlen County "
"10253","Georgia"," Troup "," Troup County "
"10254","Georgia"," Turner "," Turner County "
"10255","Georgia"," Twiggs "," Twiggs County "
"10256","Georgia"," Union "," Union County "
"10257","Georgia"," Upson "," Upson County "
"10258","Georgia"," Walker "," Walker County "
"10259","Georgia"," Walton "," Walton County "
"10260","Georgia"," Ware "," Ware County "
"10261","Georgia"," Warren "," Warren County "
"10262","Georgia"," Washington "," Washington County "
"10263","Georgia"," Wayne "," Wayne County "
"10264","Georgia"," Webster "," Webster County "
"10265","Georgia"," Wheeler "," Wheeler County "
"10266","Georgia"," White "," White County "
"10267","Georgia"," Whitfield "," Whitfield County "
"10268","Georgia"," Wilcox "," Wilcox County "
"10269","Georgia"," Wilkes "," Wilkes County "
"10270","Georgia"," Wilkinson "," Wilkinson County "
"10271","Georgia"," Worth "," Worth County "
"10272","Wisconsin"," Adams "," Adams County "
"10273","West Virginia"," Barbour "," Barbour County "
"10274","Washington"," Adams "," Adams County "
"10275","Virginia"," Accomack "," Accomack County "
"10276","Vermont"," Addison "," Addison County "
"10277","Utah"," Beaver "," Beaver County "
"10278","Wisconsin"," Ashland "," Ashland County "
"10279","West Virginia"," Berkeley "," Berkeley County "
"10280","Washington"," Asotin "," Asotin County "
"10281","Virginia"," Albemarle "," Albemarle County "
"10282","Texas"," Anderson "," Anderson County "
"10283","Tennessee"," Anderson "," Anderson County "
"10284","South Dakota"," Beadle "," Beadle County "
"10285","South Carolina"," Abbeville "," Abbeville County "
"10286","Rhode Island"," Bristol "," Bristol County "
"10287","Vermont"," Bennington "," Bennington County "
"10288","Utah"," Box Elder "," Box Elder County "
"10289","Wisconsin"," Barron "," Barron County "
"10290","West Virginia"," Boone "," Boone County "
"10291","Washington"," Benton "," Benton County "
"10292","Virginia"," Alleghany "," Alleghany County "
"10293","Texas"," Andrews "," Andrews County "
"10294","Tennessee"," Bedford "," Bedford County "
"10295","South Dakota"," Bon Homme "," Bon Homme County "
"10296","South Carolina"," Aiken "," Aiken County "
"10297","Pennsylvania"," Adams "," Adams County "
"10298","Rhode Island"," Kent "," Kent County "
"10299","Oregon"," Baker "," Baker County "
"10300","Oklahoma"," Adair "," Adair County "
"10301","Vermont"," Caledonia "," Caledonia County "
"10302","Utah"," Cache "," Cache County "
"10303","Wisconsin"," Bayfield "," Bayfield County "
"10304","West Virginia"," Braxton "," Braxton County "
"10305","Washington"," Chelan "," Chelan County "
"10306","Ohio"," Adams "," Adams County "
"10307","North Dakota"," Adams "," Adams County "
"10308","North Carolina"," Alamance "," Alamance County "
"10309","New York"," Albany "," Albany County "
"10310","Virginia"," Amelia "," Amelia County "
"10311","New Mexico"," Bernalillo "," Bernalillo County "
"10312","Texas"," Angelina "," Angelina County "
"10313","Tennessee"," Benton "," Benton County "
"10314","South Dakota"," Brookings "," Brookings County "
"10315","South Carolina"," Allendale "," Allendale County "
"10316","Pennsylvania"," Allegheny "," Allegheny County "
"10317","Rhode Island"," Newport "," Newport County "
"10318","Oregon"," Benton "," Benton County "
"10319","Oklahoma"," Alfalfa "," Alfalfa County "
"10320","Vermont"," Chittenden "," Chittenden County "
"10321","Utah"," Carbon "," Carbon County "
"10322","Wisconsin"," Brown "," Brown County "
"10323","West Virginia"," Brooke "," Brooke County "
"10324","Washington"," Clallam "," Clallam County "
"10325","Ohio"," Allen "," Allen County "
"10326","North Dakota"," Barnes "," Barnes County "
"10327","North Carolina"," Alexander "," Alexander County "
"10328","New York"," Allegany "," Allegany County "
"10329","New Jersey"," Atlantic "," Atlantic County "
"10330","New Hampshire"," Belknap "," Belknap County "
"10331","Nevada"," Churchill "," Churchill County "
"10332","Virginia"," Amherst "," Amherst County "
"10333","New Mexico"," Catron "," Catron County "
"10334","Texas"," Aransas "," Aransas County "
"10335","Tennessee"," Bledsoe "," Bledsoe County "
"10336","South Dakota"," Brown "," Brown County "
"10337","South Carolina"," Anderson "," Anderson County "
"10338","Pennsylvania"," Armstrong "," Armstrong County "
"10339","Rhode Island"," Providence "," Providence County "
"10340","Oregon"," Clackamas "," Clackamas County "
"10341","Oklahoma"," Atoka "," Atoka County "
"10342","Vermont"," Essex "," Essex County "
"10343","Utah"," Daggett "," Daggett County "
"10344","Wisconsin"," Buffalo "," Buffalo County "
"10345","West Virginia"," Cabell "," Cabell County "
"10346","Washington"," Clark "," Clark County "
"10347","Nebraska"," Adams "," Adams County "
"10348","Minnesota"," Aitkin "," Aitkin County "
"10349","Ohio"," Ashland "," Ashland County "
"10350","Michigan"," Alcona "," Alcona County "
"10351","Massachusetts"," Barnstable "," Barnstable County "
"10352","Maryland"," Allegany "," Allegany County "
"10353","North Dakota"," Benson "," Benson County "
"10354","North Carolina"," Alleghany "," Alleghany County "
"10355","New York"," Bronx "," Bronx County "
"10356","New Jersey"," Bergen "," Bergen County "
"10357","New Hampshire"," Carroll "," Carroll County "
"10358","Nevada"," Clark "," Clark County "
"10359","Virginia"," Appomattox "," Appomattox County "
"10360","New Mexico"," Chaves "," Chaves County "
"10361","Texas"," Archer "," Archer County "
"10362","Tennessee"," Blount "," Blount County "
"10363","South Dakota"," Brule "," Brule County "
"10364","South Carolina"," Bamberg "," Bamberg County "
"10365","Pennsylvania"," Beaver "," Beaver County "
"10366","Rhode Island"," Washington "," Washington County "
"10367","Oregon"," Clatsop "," Clatsop County "
"10368","Oklahoma"," Beaver "," Beaver County "
"10369","Vermont"," Franklin "," Franklin County "
"10370","Utah"," Davis "," Davis County "
"10371","Wisconsin"," Burnett "," Burnett County "
"10372","West Virginia"," Calhoun "," Calhoun County "
"10373","Washington"," Columbia "," Columbia County "
"10374","Nebraska"," Antelope "," Antelope County "
"10375","Minnesota"," Anoka "," Anoka County "
"10376","Ohio"," Ashtabula "," Ashtabula County "
"10377","Michigan"," Alger "," Alger County "
"10378","Massachusetts"," Berkshire "," Berkshire County "
"10379","Maryland"," Anne Arundel "," Anne Arundel County "
"10380","North Dakota"," Billings "," Billings County "
"10381","North Carolina"," Anson "," Anson County "
"10382","New York"," Broome "," Broome County "
"10383","New Jersey"," Burlington "," Burlington County "
"10384","New Hampshire"," Cheshire "," Cheshire County "
"10385","Nevada"," Douglas "," Douglas County "
"10386","Virginia"," Arlington "," Arlington County "
"10387","New Mexico"," Cibola "," Cibola County "
"10388","Texas"," Armstrong "," Armstrong County "
"10389","Tennessee"," Bradley "," Bradley County "
"10390","South Dakota"," Butte "," Butte County "
"10391","South Carolina"," Barnwell "," Barnwell County "
"10392","Pennsylvania"," Bedford "," Bedford County "
"10393","Oregon"," Columbia "," Columbia County "
"10394","Oklahoma"," Beckham "," Beckham County "
"10395","Vermont"," Grand Isle "," Grand Isle County "
"10396","Utah"," Duchesne "," Duchesne County "
"10397","Wisconsin"," Calumet "," Calumet County "
"10398","West Virginia"," Clay "," Clay County "
"10399","Washington"," Cowlitz "," Cowlitz County "
"10400","Nebraska"," Boone "," Boone County "
"10401","Minnesota"," Becker "," Becker County "
"10402","Ohio"," Athens "," Athens County "
"10403","Michigan"," Allegan "," Allegan County "
"10404","Massachusetts"," Bristol "," Bristol County "
"10405","Maryland"," Calvert "," Calvert County "
"10406","North Dakota"," Bottineau "," Bottineau County "
"10407","North Carolina"," Ashe "," Ashe County "
"10408","New York"," Cattaraugus "," Cattaraugus County "
"10409","New Jersey"," Camden "," Camden County "
"10410","New Hampshire"," Coos "," Coos County "
"10411","Nevada"," Elko "," Elko County "
"10412","Virginia"," Augusta "," Augusta County "
"10413","New Mexico"," Colfax "," Colfax County "
"10414","Texas"," Atascosa "," Atascosa County "
"10415","Tennessee"," Campbell "," Campbell County "
"10416","South Dakota"," Charles Mix "," Charles Mix County "
"10417","South Carolina"," Beaufort "," Beaufort County "
"10418","Pennsylvania"," Berks "," Berks County "
"10419","Oregon"," Coos "," Coos County "
"10420","Oklahoma"," Blaine "," Blaine County "
"10421","Vermont"," Lamoille "," Lamoille County "
"10422","Utah"," Emery "," Emery County "
"10423","Wisconsin"," Chippewa "," Chippewa County "
"10424","West Virginia"," Doddridge "," Doddridge County "
"10425","Washington"," Douglas "," Douglas County "
"10426","Nebraska"," Box Butte "," Box Butte County "
"10427","Minnesota"," Beltrami "," Beltrami County "
"10428","Ohio"," Auglaize "," Auglaize County "
"10429","Michigan"," Alpena "," Alpena County "
"10430","Massachusetts"," Dukes "," Dukes County "
"10431","Maryland"," Caroline "," Caroline County "
"10432","North Dakota"," Bowman "," Bowman County "
"10433","North Carolina"," Avery "," Avery County "
"10434","New York"," Cayuga "," Cayuga County "
"10435","New Jersey"," Cape May "," Cape May County "
"10436","New Hampshire"," Grafton "," Grafton County "
"10437","Nevada"," Eureka "," Eureka County "
"10438","Virginia"," Bath "," Bath County "
"10439","New Mexico"," Curry "," Curry County "
"10440","Texas"," Austin "," Austin County "
"10441","Tennessee"," Cannon "," Cannon County "
"10442","South Dakota"," Clark "," Clark County "
"10443","South Carolina"," Berkeley "," Berkeley County "
"10444","Pennsylvania"," Blair "," Blair County "
"10445","Oregon"," Crook "," Crook County "
"10446","Oklahoma"," Bryan "," Bryan County "
"10447","Vermont"," Orange "," Orange County "
"10448","Utah"," Garfield "," Garfield County "
"10449","Wisconsin"," Clark "," Clark County "
"10450","West Virginia"," Fayette "," Fayette County "
"10451","Washington"," Ferry "," Ferry County "
"10452","Nebraska"," Brown "," Brown County "
"10453","Minnesota"," Benton "," Benton County "
"10454","Ohio"," Belmont "," Belmont County "
"10455","Michigan"," Antrim "," Antrim County "
"10456","Massachusetts"," Essex "," Essex County "
"10457","Maryland"," Carroll "," Carroll County "
"10458","North Dakota"," Burke "," Burke County "
"10459","North Carolina"," Beaufort "," Beaufort County "
"10460","New York"," Chautauqua "," Chautauqua County "
"10461","New Jersey"," Cumberland "," Cumberland County "
"10462","New Hampshire"," Hills "," Hills County "
"10463","Nevada"," Humboldt "," Humboldt County "
"10464","Virginia"," Bedford "," Bedford County "
"10465","New Mexico"," De Baca "," De Baca County "
"10466","Texas"," Bailey "," Bailey County "
"10467","Tennessee"," Carroll "," Carroll County "
"10468","South Dakota"," Clay "," Clay County "
"10469","Pennsylvania"," Bradford "," Bradford County "
"10470","Oregon"," Curry "," Curry County "
"10471","Oklahoma"," Caddo "," Caddo County "
"10472","Vermont"," Orleans "," Orleans County "
"10473","Utah"," Grand "," Grand County "
"10474","Wisconsin"," Columbia "," Columbia County "
"10475","West Virginia"," Gilmer "," Gilmer County "
"10476","Washington"," Franklin "," Franklin County "
"10477","Nebraska"," Buffalo "," Buffalo County "
"10478","Minnesota"," Big Stone "," Big Stone County "
"10479","Ohio"," Brown "," Brown County "
"10480","Michigan"," Arenac "," Arenac County "
"10481","Massachusetts"," Franklin "," Franklin County "
"10482","Maryland"," Cecil "," Cecil County "
"10483","North Dakota"," Burleigh "," Burleigh County "
"10484","North Carolina"," Bertie "," Bertie County "
"10485","New York"," Chemung "," Chemung County "
"10486","New Jersey"," Essex "," Essex County "
"10487","New Hampshire"," Merrimack "," Merrimack County "
"10488","Nevada"," Lander "," Lander County "
"10489","Virginia"," Bland "," Bland County "
"10490","New Mexico"," Dona Ana "," Dona Ana County "
"10491","Texas"," Bandera "," Bandera County "
"10492","Tennessee"," Carter "," Carter County "
"10493","South Dakota"," Codington "," Codington County "
"10494","South Carolina"," Calhoun "," Calhoun County "
"10495","Oregon"," Deschutes "," Deschutes County "
"10496","Oklahoma"," Canadian "," Canadian County "
"10497","Vermont"," Rutland "," Rutland County "
"10498","Utah"," Iron "," Iron County "
"10499","Wisconsin"," Crawford "," Crawford County "
"10500","West Virginia"," Grant "," Grant County "
"10501","Washington"," Garfield "," Garfield County "
"10502","Nebraska"," Burt "," Burt County "
"10503","Minnesota"," Blue Earth "," Blue Earth County "
"10504","Ohio"," Butler "," Butler County "
"10505","Michigan"," Baraga "," Baraga County "
"10506","Massachusetts"," Hampden "," Hampden County "
"10507","Maryland"," Charles "," Charles County "
"10508","North Dakota"," Cass "," Cass County "
"10509","North Carolina"," Bladen "," Bladen County "
"10510","New York"," Chenango "," Chenango County "
"10511","New Jersey"," Gloucester "," Gloucester County "
"10512","New Hampshire"," Rockingham "," Rockingham County "
"10513","Nevada"," Lincoln "," Lincoln County "
"10514","Virginia"," Botetourt "," Botetourt County "
"10515","New Mexico"," Eddy "," Eddy County "
"10516","Texas"," Bastrop "," Bastrop County "
"10517","Tennessee"," Cheatham "," Cheatham County "
"10518","South Dakota"," Custer "," Custer County "
"10519","South Carolina"," Charleston "," Charleston County "
"10520","Pennsylvania"," Bucks "," Bucks County "
"10521","Oregon"," Douglas "," Douglas County "
"10522","Oklahoma"," Carter "," Carter County "
"10523","Vermont"," Washington "," Washington County "
"10524","Utah"," Juab "," Juab County "
"10525","Wisconsin"," Dane "," Dane County "
"10526","West Virginia"," Greenbrier "," Greenbrier County "
"10527","Washington"," Grant "," Grant County "
"10528","Nebraska"," Butler "," Butler County "
"10529","Minnesota"," Brown "," Brown County "
"10530","Ohio"," Carroll "," Carroll County "
"10531","Michigan"," Barry "," Barry County "
"10532","Massachusetts"," Hampshire "," Hampshire County "
"10533","Maryland"," Dorchester "," Dorchester County "
"10534","North Dakota"," Cavalier "," Cavalier County "
"10535","North Carolina"," Brunswick "," Brunswick County "
"10536","New York"," Clinton "," Clinton County "
"10537","New Jersey"," Hudson "," Hudson County "
"10538","New Hampshire"," Strafford "," Strafford County "
"10539","Nevada"," Lyon "," Lyon County "
"10540","Virginia"," Brunswick "," Brunswick County "
"10541","New Mexico"," Grant "," Grant County "
"10542","Texas"," Baylor "," Baylor County "
"10543","Tennessee"," Chester "," Chester County "
"10544","South Dakota"," Davison "," Davison County "
"10545","South Carolina"," Cherokee "," Cherokee County "
"10546","Pennsylvania"," Butler "," Butler County "
"10547","Oregon"," Gilliam "," Gilliam County "
"10548","Oklahoma"," Cherokee "," Cherokee County "
"10549","Vermont"," Windham "," Windham County "
"10550","Utah"," Kane "," Kane County "
"10551","Wisconsin"," Dodge "," Dodge County "
"10552","West Virginia"," Hampshire "," Hampshire County "
"10553","Washington"," Grays Harbor "," Grays Harbor County "
"10554","Nebraska"," Cass "," Cass County "
"10555","Minnesota"," Carlton "," Carlton County "
"10556","Ohio"," Champaign "," Champaign County "
"10557","Michigan"," Bay "," Bay County "
"10558","Massachusetts"," Middlesex "," Middlesex County "
"10559","Maryland"," Frederick "," Frederick County "
"10560","North Dakota"," Dickey "," Dickey County "
"10561","North Carolina"," Buncombe "," Buncombe County "
"10562","New York"," Columbia "," Columbia County "
"10563","New Jersey"," Hunterdon "," Hunterdon County "
"10564","New Hampshire"," Sullivan "," Sullivan County "
"10565","Nevada"," Mineral "," Mineral County "
"10566","Virginia"," Buchanan "," Buchanan County "
"10567","New Mexico"," Guadalupe "," Guadalupe County "
"10568","Texas"," Bee "," Bee County "
"10569","Tennessee"," Claiborne "," Claiborne County "
"10570","South Dakota"," Day "," Day County "
"10571","South Carolina"," Chester "," Chester County "
"10572","Pennsylvania"," Cambria "," Cambria County "
"10573","Oregon"," Grant "," Grant County "
"10574","Oklahoma"," Choctaw "," Choctaw County "
"10575","Vermont"," Windsor "," Windsor County "
"10576","Utah"," Millard "," Millard County "
"10577","Wisconsin"," Door "," Door County "
"10578","West Virginia"," Hancock "," Hancock County "
"10579","Washington"," Island "," Island County "
"10580","Nebraska"," Cedar "," Cedar County "
"10581","Minnesota"," Carver "," Carver County "
"10582","Ohio"," Clark "," Clark County "
"10583","Michigan"," Benzie "," Benzie County "
"10584","Massachusetts"," Nantucket "," Nantucket County "
"10585","Maryland"," Garrett "," Garrett County "
"10586","North Dakota"," Divide "," Divide County "
"10587","North Carolina"," Burke "," Burke County "
"10588","New York"," Cortland "," Cortland County "
"10589","New Jersey"," Mercer "," Mercer County "
"10590","Nevada"," Nye "," Nye County "
"10591","Virginia"," Buckingham "," Buckingham County "
"10592","New Mexico"," Hidalgo "," Hidalgo County "
"10593","Texas"," Bell "," Bell County "
"10594","Tennessee"," Clay "," Clay County "
"10595","South Dakota"," Deuel "," Deuel County "
"10596","South Carolina"," Chesterfield "," Chesterfield County "
"10597","Pennsylvania"," Cameron "," Cameron County "
"10598","Oregon"," Harney "," Harney County "
"10599","Oklahoma"," Cleveland "," Cleveland County "
"10600","Utah"," Morgan "," Morgan County "
"10601","Wisconsin"," Douglas "," Douglas County "
"10602","West Virginia"," Hardy "," Hardy County "
"10603","Washington"," Jefferson "," Jefferson County "
"10604","Nebraska"," Chase "," Chase County "
"10605","Minnesota"," Cass "," Cass County "
"10606","Ohio"," Clermont "," Clermont County "
"10607","Michigan"," Berrien "," Berrien County "
"10608","Massachusetts"," Norfolk "," Norfolk County "
"10609","Maryland"," Harford "," Harford County "
"10610","North Dakota"," Dunn "," Dunn County "
"10611","North Carolina"," Cabarrus "," Cabarrus County "
"10612","New York"," Delaware "," Delaware County "
"10613","New Jersey"," Middlesex "," Middlesex County "
"10614","Nevada"," Pershing "," Pershing County "
"10615","Virginia"," Campbell "," Campbell County "
"10616","New Mexico"," Lea "," Lea County "
"10617","Texas"," Bexar "," Bexar County "
"10618","Tennessee"," Cocke "," Cocke County "
"10619","South Dakota"," Douglas "," Douglas County "
